product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Stingray - Mel Armstrong,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Tossed Pumpkins  - Green - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Little primrose,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Organic speckle marks meadow green,Melco Fabrics,Art Print Fabric,2,31.820,0.000,0.000,31.820,3.180,35.000
Cockatoo Australian Birds in Peachy pink,Melco Fabrics,Art Print Fabric,2,31.820,0.000,0.000,31.820,3.180,35.000
Ditsy daisy - Black on off white,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Little Birdie Purple,Melco Fabrics,Art Print Fabric,2,31.820,0.000,0.000,31.820,3.180,35.000
Honeycomb linen look,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Fairy Wrens and Hakea- The Scenic Route,Melco Fabrics,Art Print Fabric,2,31.820,0.000,0.000,31.820,3.180,35.000
"Summer play -  splash in blue, yellow and peach",Melco Fabrics,Art Print Fabric,2,40.560,0.000,0.000,40.560,0.000,40.560
Winding Vines - Mel Armstrong,Melco Fabrics,Art Print Fabric,2,38.180,0.000,0.000,38.180,3.820,42.000
Tossed Pumpkins  - Pink - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Garden Posies Pink,Melco Fabrics,Art Print Fabric,2,31.820,0.000,0.000,31.820,3.180,35.000
Primrose white floral,Melco Fabrics,Art Print Fabric,2,37.270,-6.000,0.000,31.270,3.130,34.400
Sketched Pink Dino,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Ditsy daisy - sienna,Melco Fabrics,Art Print Fabric,2,31.820,0.000,0.000,31.820,3.180,35.000
Green Camo Dinos,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Checkery Checker  - Burnt Orange & Cream - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Bats  - Black on off White - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Gypsy Girl - Gemstone,Melco Fabrics,Art Print Fabric,2,38.180,0.000,0.000,38.180,3.820,42.000
Floral Green - Mel Armstrong,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Cockatoo Australian Birds in Ocean blue,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Primrose rust floral,Melco Fabrics,Art Print Fabric,2,40.000,0.000,0.000,40.000,4.000,44.000
Bush Baby White Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,2,31.820,0.000,0.000,31.820,3.180,35.000
Rust polka dots,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Organic speckle marks shell maple brown,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Bats  - Off White on Black - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Pelicans - Mel Armstrong,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Diamonds - Sundance,Melco Fabrics,Art Print Fabric,1,20.000,-6.000,0.000,14.000,1.400,15.400
"Checkery Checker (Tangerine, spearmint, lilac, yellow)",Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Garden Posies White,Melco Fabrics,Art Print Fabric,1,20.000,0.000,0.000,20.000,2.000,22.000
Eucalyptus,Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Watercolour - chartreuse green painted chevron,Melco Fabrics,Art Print Fabric,1,20.000,0.000,0.000,20.000,2.000,22.000
Sketched Blue Dino,Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Organic Checkerboard (blue green),Melco Fabrics,Art Print Fabric,1,19.090,0.000,0.000,19.090,1.910,21.000
Pink Grid,Melco Fabrics,Art Print Fabric,1,20.000,0.000,0.000,20.000,2.000,22.000
Checkery Checker  - Black and cream - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Freehand squiggle dots - dark duck green,Melco Fabrics,Art Print Fabric,1,15.910,0.000,0.000,15.910,1.590,17.500
Wobbly gingham - sunshine yellow,Melco Fabrics,Art Print Fabric,1,19.090,0.000,0.000,19.090,1.910,21.000
Vintage Budgies Pink - The Scenic Route,Melco Fabrics,Art Print Fabric,1,15.910,0.000,0.000,15.910,1.590,17.500
"Fleur flowers (lavender, yellow)",Melco Fabrics,Art Print Fabric,1,17.270,0.000,0.000,17.270,1.730,19.000
Tossed Pumpkins  - Light Blue - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,1,17.730,0.000,0.000,17.730,1.770,19.500
